activation,dropout,kernel_l1,kernel_l2,loss,tid,status,trial,stopped_epoch,num_params
0,0.20548287063308834,0.008290013359246872,0.00606323020960977,0.039927344769239426,0,ok,1,69,2428610
0,0.4711059758349924,0.0010549886982265662,0.0011942244107954409,0.04519699513912201,1,ok,2,65,2428610
0,0.30992180126191576,0.0006117115325202511,0.009460395663226455,0.02544861100614071,2,ok,3,66,2428610
1,0.10031006755251343,0.00010569627354732852,0.004998851068985894,0.014160258695483208,3,ok,4,47,2428610
0,0.06350354167901501,0.0003216827240970497,0.01865742599857193,0.014344235882163048,4,ok,5,57,2428610
1,0.14500028788675773,0.007720779466390211,0.0794142177160333,0.036789681762456894,5,ok,6,41,2428610
0,0.488306089664128,0.022542438243137668,0.006545726315723397,0.10857352614402771,6,ok,7,53,2428610
1,0.2380383813884051,0.022484926551429685,0.006186039152296578,0.06698647886514664,7,ok,8,41,2428610
1,0.2734588753967283,0.0017151022448689411,0.08537587176232532,0.029389889910817146,8,ok,9,55,2428610
1,0.40944672343748256,0.04436420577300358,0.00022510192257277906,0.13470427691936493,9,ok,10,33,2428610
1,0.038151992332149054,0.017153452367082832,0.0007206213778808155,0.03193439915776253,10,ok,11,65,2428610
1,0.22472188374518665,0.006957109666006798,0.006206087784545477,0.03866871818900108,11,ok,12,65,2428610
0,0.3676881386777503,0.019499317327815683,0.013170390634262452,0.08776278048753738,12,ok,13,43,2428610
0,0.07642845355229838,0.028333527443005,0.010050124310357492,0.04874592646956444,13,ok,14,65,2428610
0,0.1975359222617908,0.0001477985830789551,0.0025703916971901606,0.016830474138259888,14,ok,15,76,2428610
0,0.28711577311056746,0.0032663143760685155,0.019155834022715187,0.034126508980989456,15,ok,16,78,2428610
1,0.3357834784083963,0.000847896696425098,0.0016326150658850782,0.02713603526353836,16,ok,17,93,2428610
1,0.45684757311412566,0.06080468157777042,0.003354257993487416,0.14398345351219177,17,ok,18,55,2428610
1,0.2035118352198232,0.0829942244648898,0.0036378457095850663,0.10901714861392975,18,ok,19,63,2428610
1,0.23041067043984004,0.0004839989540368307,0.02050780352181671,0.021301504224538803,19,ok,20,52,2428610
0,0.010534721338380792,0.00010971475202023498,0.04774994515236823,0.010610307566821575,20,ok,21,65,2428610
0,0.12361028840105984,0.00010798212572714851,0.045341684909014066,0.013992179185152054,21,ok,22,69,2428610
0,0.019429489694994605,0.00020875682168881805,0.04333389972946545,0.011050933972001076,22,ok,23,79,2428610
0,0.027882543160877727,0.00026087293303617766,0.04405054516153606,0.011569168418645859,23,ok,24,70,2428610
0,0.0014314384919033793,0.0002285413872383914,0.0373398336679594,0.010178497061133385,24,ok,25,76,2428610
0,0.15439487267682311,0.001496880177884782,0.03130119115507019,0.02377181127667427,25,ok,26,49,2428610
0,0.006118363964755972,0.0004293617283462177,0.09615504379308015,0.011063199490308762,26,ok,27,75,2428610
0,0.0577699051332465,0.00014829448892482574,0.00015889954663811192,0.012948671355843544,27,ok,28,100,2428610
0,0.0006416649388496787,0.0025327789999719233,0.06579324059760881,0.012647651135921478,28,ok,29,81,2428610
0,0.17192020639893435,0.00018873050247063147,0.0005750267015190677,0.02102292887866497,29,ok,30,44,2428610
0,0.09393874561365112,0.00010456720468212477,0.031169449540634202,0.01322572585195303,30,ok,31,70,2428610
0,0.12362802961547326,0.0006622361932457672,0.011685544973824184,0.01781506836414337,31,ok,32,71,2428610
0,0.1079689435014222,0.004856094779618256,0.06169348326342985,0.032554902136325836,32,ok,33,33,2428610
0,0.050317037690724944,0.0011284503038048587,0.022028697867480188,0.01643161103129387,33,ok,34,59,2428610
0,0.17240372783224223,0.0003325348426220241,0.028479166271846133,0.01691986434161663,34,ok,35,70,2428610
0,0.010419562122462147,0.00014655471618127346,0.0017478002819855255,0.010517634451389313,35,ok,36,100,2428610
0,0.07808350114287213,0.0005790030047382753,0.0003763907703605959,0.01567797362804413,36,ok,37,100,2428610
0,0.26535704499079404,0.00031085796615340467,0.0014777422873610497,0.022329481318593025,37,ok,38,76,2428610
0,0.3375252997523234,0.0011843356694787688,0.0008811256970024927,0.03180686756968498,38,ok,39,82,2428610
0,0.4017540646519036,0.002262350840640667,0.0018655176304715104,0.04481532424688339,39,ok,40,69,2428610
0,0.14122080290302663,0.0007846868673921052,0.00043390020501821207,0.021160658448934555,40,ok,41,76,2428610
0,0.03277667263879894,0.00018474148467003011,0.000937500655130963,0.012266134843230247,41,ok,42,83,2428610
0,0.08630306993830986,0.0004135157964762848,0.004543583247267283,0.016505425795912743,42,ok,43,65,2428610
1,0.05842999726120039,0.0037692603998152625,0.00010173838334093329,0.02001473866403103,43,ok,44,77,2428610
0,0.44845945814138277,0.010359543288761635,0.007472721427003671,0.07705463469028473,44,ok,45,53,2428610
0,0.18077354313980626,0.0001485012816409829,0.014062788361136162,0.016130143776535988,45,ok,46,58,2428610
1,0.4952378428297172,0.001709584413752807,0.002279986219165418,0.04646461829543114,46,ok,47,82,2428610
0,0.3009538298010309,0.012319814930171475,0.0012238121205721067,0.06446512788534164,47,ok,48,45,2428610
1,0.11391570817703664,0.00023511608200733837,0.00026345206428599803,0.01659894548356533,48,ok,49,54,2428610
0,0.2625846329836079,0.0008707551192459477,0.008215344807953807,0.027515102177858353,49,ok,50,60,2428610
